TABLE_CAT,TABLE_SCHEM,TABLE_NAME,TABLE_TYPE
C0000052267P_1_KOR00000000,dbo,CFGEMRegistrationData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGEMRegistrationDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGEMRegistrationStatusData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGEMRegistrationStatusDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGEMRegistrationTypeData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGEMRegistrationTypeDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGEMSkillData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGEMSkillDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGEMSkillLevelData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGEMSkillLevelDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGEMSkillUsageData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGEMSkillUsageDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGEMail,TABLE
C0000052267P_1_KOR00000000,dbo,CFGETInterface,TABLE
C0000052267P_1_KOR00000000,dbo,CFGEmployeeRelationshipData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGEmployeeRelationshipDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGEmployeeRoleData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGEmployeeRoleDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGEmployeeStatusData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGEmployeeStatusDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGEmployeeTitleData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGEmployeeTitleDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGEmployeeTypeAccounts,TABLE
C0000052267P_1_KOR00000000,dbo,CFGEmployeeTypeData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGEmployeeTypeDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGExportImport,TABLE
C0000052267P_1_KOR00000000,dbo,CFGFAAssetTypeData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGFAAssetTypeDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGFABookData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGFABookDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGFADepMethodData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGFADepMethodDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGFADepMethodSum,TABLE
C0000052267P_1_KOR00000000,dbo,CFGFAPropertyTypeData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGFAPropertyTypeDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGFARepairTypeData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGFARepairTypeDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGFASec179Main,TABLE
C0000052267P_1_KOR00000000,dbo,CFGFeatureFlag,TABLE
C0000052267P_1_KOR00000000,dbo,CFGFeeEstCostGroupData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGFeeEstCostGroupDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGFeeEstFuncGroupData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGFeeEstFuncGroupDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGFonts,TABLE
C0000052267P_1_KOR00000000,dbo,CFGFormat,TABLE
C0000052267P_1_KOR00000000,dbo,CFGGridViewFields,TABLE
C0000052267P_1_KOR00000000,dbo,CFGHRJobs,TABLE
C0000052267P_1_KOR00000000,dbo,CFGHRRelationshipData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGHRRelationshipDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGHoliday,TABLE
C0000052267P_1_KOR00000000,dbo,CFGHolidayTypeData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGHolidayTypeDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGICBilling,TABLE
C0000052267P_1_KOR00000000,dbo,CFGICBillingOverrides,TABLE
C0000052267P_1_KOR00000000,dbo,CFGICBillingTerms,TABLE
C0000052267P_1_KOR00000000,dbo,CFGInitializationSetup,TABLE
C0000052267P_1_KOR00000000,dbo,CFGInitializationSetup_Backup,TABLE
C0000052267P_1_KOR00000000,dbo,CFGIntegrationCompany,TABLE
C0000052267P_1_KOR00000000,dbo,CFGIntegrationWS,TABLE
C0000052267P_1_KOR00000000,dbo,CFGIntegrationWSEmployeeTypes,TABLE
C0000052267P_1_KOR00000000,dbo,CFGIntegrationWS_Backup,TABLE
C0000052267P_1_KOR00000000,dbo,CFGInvApprover,TABLE
C0000052267P_1_KOR00000000,dbo,CFGInvCostAdjReasonData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGInvCostAdjReasonDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGInvLocations,TABLE
C0000052267P_1_KOR00000000,dbo,CFGInvMap,TABLE
C0000052267P_1_KOR00000000,dbo,CFGInvQtyAdjReasonData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGInvQtyAdjReasonDescriptions,TABLE
C0000052267P_1_KOR00000000,dbo,CFGInventoryMain,TABLE
C0000052267P_1_KOR00000000,dbo,CFGInvoiceTemplateTableCodeData,TABLE
C0000052267P_1_KOR00000000,dbo,CFGInvoiceTemplateTableCodeDescriptions,TABLE
